,GEOID,MEDIAN GROSS RENT (DOLLARS)_Estimate!!Median gross rent,YEAR
757,13121008101,1051.0,2012.0
758,13121008101,1153.0,2013.0
759,13121008101,1069.0,2014.0
761,13121008101,1067.0,2016.0
762,13121008101,-666666666.0,2017.0
763,13121006000,854.0,2012.0
764,13121006000,856.0,2013.0
765,13121006000,862.0,2014.0
766,13121006000,841.0,2015.0
767,13121006000,829.0,2016.0
768,13121006000,903.0,2017.0
