,GEOID,MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)_Estimate!!Median household income in the past 12 months (in 2016 inflation-adjusted dollars),YEAR
684,13121008301,27023.0,2017.0
685,13121005501,24125.0,2012.0
686,13121005501,20150.0,2013.0
687,13121005501,25321.0,2014.0
688,13121005501,19691.0,2015.0
689,13121005501,20000.0,2016.0
690,13121005501,30469.0,2017.0
691,13121005700,16359.0,2012.0
692,13121005700,16310.0,2013.0
693,13121005700,17717.0,2014.0
694,13121005700,16172.0,2015.0
695,13121005700,17782.0,2016.0
696,13121005700,19698.0,2017.0
697,13121006400,25698.0,2012.0
698,13121006400,27159.0,2013.0
699,13121006400,31324.0,2014.0
700,13121006400,30179.0,2015.0
701,13121006400,44028.0,2016.0
702,13121006400,43690.0,2017.0
703,13121006300,20486.0,2012.0
704,13121006300,23398.0,2013.0
705,13121006300,22009.0,2014.0
706,13121006300,21875.0,2015.0
707,13121006300,24509.0,2016.0
708,13121006300,24893.0,2017.0
709,13121006100,22778.0,2012.0
710,13121006100,22500.0,2013.0
711,13121006100,26107.0,2014.0
712,13121006100,31719.0,2015.0
713,13121006100,30256.0,2016.0
714,13121006100,29276.0,2017.0
715,13121005502,16403.0,2012.0
716,13121005502,16321.0,2013.0
717,13121005502,16726.0,2014.0
718,13121005502,15682.0,2015.0
719,13121005502,16675.0,2016.0
720,13121005502,19469.0,2017.0
721,13121005800,18482.0,2012.0
722,13121005800,20345.0,2013.0
723,13121005800,25795.0,2014.0
724,13121005800,26250.0,2015.0
725,13121005800,30652.0,2016.0
726,13121005800,31625.0,2017.0
727,13121006500,43354.0,2012.0
728,13121006500,42442.0,2013.0
729,13121006500,41869.0,2014.0
730,13121006500,41678.0,2015.0
731,13121006500,40375.0,2016.0
732,13121006500,39274.0,2017.0
733,13121008602,26750.0,2012.0
734,13121008602,33875.0,2013.0
735,13121008602,30563.0,2014.0
736,13121008602,35885.0,2015.0
737,13121008602,35649.0,2016.0
738,13121008602,36815.0,2017.0
739,13121008800,97000.0,2012.0
740,13121008800,88477.0,2013.0
741,13121008800,93750.0,2014.0
742,13121008800,81333.0,2015.0
743,13121008800,94196.0,2016.0
744,13121008800,95524.0,2017.0
745,13121009200,51793.0,2012.0
746,13121009200,54130.0,2013.0
747,13121009200,53331.0,2014.0
748,13121009200,59043.0,2015.0
749,13121009200,64902.0,2016.0
750,13121009200,65957.0,2017.0
751,13121007500,17941.0,2012.0
752,13121007500,17545.0,2013.0
753,13121007500,16695.0,2014.0
754,13121007500,16196.0,2015.0
755,13121007500,20051.0,2016.0
756,13121007500,23563.0,2017.0
757,13121008101,30574.0,2012.0
758,13121008101,29178.0,2013.0
759,13121008101,28929.0,2014.0
760,13121008101,29300.0,2015.0
761,13121008101,28924.0,2016.0
762,13121008101,31833.0,2017.0
763,13121006000,21441.0,2012.0
764,13121006000,23409.0,2013.0
765,13121006000,26359.0,2014.0
766,13121006000,28707.0,2015.0
767,13121006000,31909.0,2016.0
768,13121006000,35549.0,2017.0
